,2014x,2014y,2015x,2015y,2016x,2016y,2017x,2017y,2018x,2018y,2019x,2019y,2020x,2020y,2021x,2021y
215,5242,6018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,5283,4508,5238,4506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,5287,3366,5265,3322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218,5309,4974,5277,4994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219,5309,6154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,5385,4728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
221,5393,3768,5373,3748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,5397,2790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
223,5459,4874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,5461,6652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,5489,3690,5442,3642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
226,5491,3826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
227,5498,2553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,5499,4792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,5531,6435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
230,5583,4484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
231,5591,6346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,5639,5284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,5657,3432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
234,5695,3546,5666,3494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235,5699,5502,5594,5458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,5719,6616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
237,5726,4584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
238,5742,3710,5718,3662,5641,3646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
239,5762,3366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,5779,4014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
241,5807,4637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
242,5811,5674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
243,5821,7749,5834,7710,5743,7666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,5869,4412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,5869,13514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
246,5905,5185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,5929,4105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,5951,5108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,5983,8275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,5990,4636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
251,6011,3979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
252,6021,4758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253,6029,3659,6011,3618,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
254,6031,8010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,6091,7997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
256,6097,4670,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,6115,3974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
258,6138,4428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
259,6181,8537,6182,8510,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,6231,4702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,6258,3442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
262,6259,3636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
263,6261,4964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
264,6303,7085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
265,6318,4670,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
266,6326,3616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
267,6331,3834,6305,3788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
268,6337,3978,6312,3924,6237,3894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,6377,4826,6357,4802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
270,6425,7162,6442,7138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
271,6451,3862,6414,3789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
272,6651,4514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
