,./mask/201408ddyw.tif,./mask/201508ddyw.tif,./mask/20151017sp.tif,./mask/20160907.tif,./mask/20161025.tif,./mask/20170714.tif,./mask/20170728.tif,./mask/20171002.tif,./mask/20180729.tif,./mask/20180828.tif,./mask/20180926.tif,./mask/20190828.tif,./mask/20190923.tif,./mask/20200727.tif,./mask/20210717.tif
266,1176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
267,2004,6354,5121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
268,2953,9564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,4668,13223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
270,5459,11123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
271,261,7189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
272,5442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
273,198,3974,3359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
274,184,1088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,12199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,6796,17865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
277,2407,15553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
278,10488,20554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
279,606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
